	win	date	time	titles	reviews
10	2020-08-26	2020-08-26	22:06:00	야구 왜 못하니? 	제일기획가서 연봉 줄고 인센티브가 없어져서?코로나 때문에 집중안되서?우승할만큼해서?용병 복이 없어서?부상자 때문에?이유도 많다.. 야구 편하게 하네.. 
11	2020-08-26	2020-08-26	22:04:00	이기고 있을 때 	득점권 때 대타로 도망갈 생각은 죽어도 하지않고 꼭 지고 있을 때만 대타를 연속 기용하는 허감독 정말 대단해요. 
12	2020-08-26	2020-08-26	22:03:00	삼성선수들이 빠른공 대응을 너무 못한다 	오늘경기까지 봤는데 그동안 타자들이 너무 빠른공을못치는거 봤다 143까지는 간신히 안타 치고 4부터는한가운데 들어와서는 안타를 못치고 파울이나 내야 플라이를 만든다 이원석은 148km 한가운데 헛스윙 잘쳐봤자3루수 땅볼 이학주는 140km도 못침 이성곤은 느려도너무 심하게 느리다 140도 안된 직구를 헛스윙질을 하니어쩌면 아마추어보단 못할거 같다 이성규는 150km 빠른공을 칠수 있는 능력이 있기 때문에 때려낼수 있지만맞추는 능력이 너무 부족하다 김동엽도 작년보다 나은 페이스를 보여줬으나 홈런타자 몫을 못하고 있다 김상수 빠다가 좀느려도 밀어치는 힘이 좋음 구자욱은 빠다 스피드가 보통 팔카는 모르겠다 결론삼성빠다 스피드순위 1팔카 2이성규3 강민호 4 김동엽 5 구자욱 6 박해민 7 김상수 8 김헌곤 9 이원석 10 김응민11 김민수 12 이성곤 
13	2020-08-26	2020-08-26	22:02:00	삼성 9회에 등판한 투수 누구고? 제구가 있는 것 같던데 	딴일 하다 언뜻 봤는데 왼손투수 같던데 
14	2020-08-26	2020-08-26	21:57:00	엘지 이민호는 진짜 크게 될거 같아요 	자기공 던질줄 알고멘탈도강하고완굽조절도 있고패스트볼도 빠른데 변화구 제구도 수준급이고...이민호는 신인인데도 불구하고 절대 흔들리지 않는 멘탈이 참 좋네요...오늘도 초반 5실점 했는데도 불구하고 이후 절대 흔들리지 않고 자기공을 던지고, 오늘뿐 아니라 이전 경기에사도 3,4덤 먼저 내줬지만 흔들리지 읺고 자기공 던지는거 보면 참 부러움...류중일은 운이 참좋음... 오늘 뷰캐넌 부상에 신인급 선슈들이 알아서 잘 성장하고 ㅎㅎ최일언 코치 덕인가?? ㅋㅋ언제까지 운이 따를지.... 
15	2020-08-26	2020-08-26	21:56:00	투수는 170, 타자는 160대 뽑는 유일한 팀 	그것도 한두명이 아니라 상위픽으로 뽑는 팀중1리가 말아 먹었으면 키 크고 힘 있는 선수로만 거포와 강속구 위주로 뽑아서 호무랑 밥 먹듯이 칠수 있고 150대 가볍게 던지는 등빨팀 맹글어야지 
16	2020-08-26	2020-08-26	21:54:00	ㅂㅅ 같은게 40경기 어쩌구 저쩌구.멀티 포지션할때 알아봣다 	거게 혹사다 ㅂㅅㅣㄴ아 
17	2020-08-26	2020-08-26	21:51:00	오늘 5점 내고 그때부터 감독 코치 선수들 모두 만족하고 점수 안내기로 한건가. 왜)) 어제 4점 낸거 보다 많이 냈으니까! 	하기야 3일 연속 2점 낸 적도 있었는데잘 했네 5점이면 그 실력으로... 
18	2020-08-26	2020-08-26	21:47:00	여러분 10원짜리 욕은 빼고 ㄲㅏ는 글쓰세요~ 	저 본캐 2달 넘었는데 정지 안풀어줍니다 욕설 때문이라네요 10원짜리 욕 빼고 실컷 까세요~~아주 수치스럽게 현타 오게끔ㅋㅋ 
19	2020-08-26	2020-08-26	21:46:00	팀에 구심점이 될만한 고참 선수가없다! 	팀의 기강도 좀잡고, 악착같은 근성도 주입할만한 구심점이 될만한 고참들이없다! 그냥 적당히 하다가 안돼면 2군 내려갔다가 다시 부르면 적당히 하고...이성규같은 선수는 오늘 지고있는 9회에도 싱글벙글...이게 프로팀이냐? 
20	2020-08-26	2020-08-26	21:46:00	번트 대는법도 안가르키냐 	아무리 머리가 빠가사리라도1루 2루에서 번터를 1루쪽보고 대는 정신나간 놈이 다있네저런것도 선수라고 봐야하냐 
21	2020-08-26	2020-08-26	21:43:00	사자후 초기 화면 김지찬 사진으로 바까라 	.. 
22	2020-08-26	2020-08-26	21:43:00	코로나아니였으면 구단버스불나거나 허삼영 여러번돌맞았을듯 	코로나에 감사해라 
23	2020-08-26	2020-08-26	21:41:00	포기했지만 화가나서 참을 수가 없다 	고집이 센거냐?? 허삼영 ㅂㅅ아~이성규 그만보고싶다고했는데 왜자꾸 출전시키는지...그냥 대타나쓰던가...이성규타석에 득점권 찬스는 왜자꾸 만들어지는지..이성규가 타석에 들어오면 기대도 안된다..적당히 고집부려라~ 차라리 이성곤이...그렇게 선수가 없냐?? 
24	2020-08-26	2020-08-26	21:40:00	마음같아선 허삼영퇴단 국민청원이라도 하고싶네 	쪽팔려서 할수도없고 나원참.. 
25	2020-08-26	2020-08-26	21:40:00	허삼영 	편협한인간이감독이라팀이더욱더망가지고있다!!! 
26	2020-08-26	2020-08-26	21:39:00	라팍의 악몽 	라팍 지워놓고 경기는 해마다 엉망, 진짜 라팍의 저주인가!삼성구단 관계자도 돌대갈인게 상대팀은 살짝만 쳐도 홈런인데 삼성 선수는 아무리 세게 쳐도 안넘어 가는데 그걸 알것 같으면 외야펜스를 높이던가 한 20미터 쯤, 아니면 뒤로 30미터쯤 밀던가?돌대갈 같은 놈들...오늘 태풍 비가 더 빨리 오든가 해서 경기를 하지 말았어야 하는데,감독 코치 선수들은 연승이 싫은 건지.빨리 시즌 끝내라,대책없는 놈들... 
27	2020-08-26	2020-08-26	21:38:00	삼카우터는 봐라 쌍욕박고싶지 않으니까 딱 한번 말한다 오늘 경기 	  한번보고 두번보고 세번보고 네번보고 다시보기로 100 번봐라  니들이 직접 뽑은 사이즈 작은 선수의 한계를 오늘 다시보기로 무한반복하면서 느껴라  그리고 이제 사이즈 작은놈들좀 뽑지마 제발  투수 6명~7명 투입했는데  사이즈 작은 투수 한명 잘못뽑았다가   경기 말아먹었다  김윤수 공던지는거봐 얼마나 시원시원해  굳이 다른팀들은 쳐다도 안보는 사이즈 작은 땅딸보를 뽑아서   팀 성적꼬라박게하냐고      올해 드래프트 하는거 지켜본다  또 땅딸보 투수 뽑기만해봐 봐라    
28	2020-08-26	2020-08-26	21:38:00	경기포기 감독 	요즘 삼성야구는 끈질긴면을찾아보래야 볼수가없다 감독부터 경기 하다투수교체 잘못해 경기 말아먹고 뒤집어지니바로 경기 포기 하는 감독부터 이러니 선수들은오죽 하것나전타석홈런처 기븐좋은 김헌곤에게왜 번트냐? 성공한들 뒤 김지찬이성규가해결할능력있나?참답답 한사령탑이다그리고 제구안되는최지광뒤집어질때까지 놔두는게무슨유중일이랑 둘이연패끈키주고받기짜고 경기 했냐? 물어보고싶다진쨔;; 그리고펜들도 글타선수 좀못햔다고빼라2군 보네라방출해라그러면야구는 누가합니까? 
29	2020-08-26	2020-08-26	21:37:00	ㅋㅋㅋ 	냉무 
30	2020-08-26	2020-08-26	21:37:00	엘쥐 투타 등빨 선수들 중1리 저넘 숟가락 쩌네 	타자들도 등빨타자들투수들도 강속구 내년에 저넘 상판때기 보기 싫치만 재계약해서 주전편애 야구로 엘쥐 황폐화 시키는것도 나쁘지 않을 듯 
31	2020-08-26	2020-08-26	21:37:00	늬들이 프로냐~ 	 그냥 아마도 아닌 동네 선수인기다~ 뭐 하루 이틀도 아니고...ㅠㅠㅠ 어째 초장끗발이 쎈데?? 했더니 역시나  ㄱ ㅐ 끗발이네.. 그래 5점이 어딘데.. 이더운날 그정도면 밥값? 했제????....  살구아제 속으론 울겠다 겉으로야 엘쥐지만 마음만은 푸른피를 가진분인데.....   
32	2020-08-26	2020-08-26	21:36:00	오늘도 허삼영이가 찬스를 놓치네~ 	찬스때마다 ㄱㅐ작전으로 찬스 날려먹고 1회 선수들이 만든 점수가 끝! 5점 내줘도 못지키는 삼성야구 그 와중에 투수만 주구장창 뽑아댓지 올해도 그렇고 근데!!! 좋은 원석 데리고오면 뭐하냐? 지도자고 ㄱ ㅐ 무능한데 ㅉㅉㅉ 오늘도 별 기대 안하고 야구봤다~올해는 9등한번 찍어보자 10등은 무리더라 
33	2020-08-26	2020-08-26	21:35:00	야구 저능아 허삼영 	  전력을 떠나서 야구 지능 딸리는    아니 야구 저능아 수준이 허파(디비)고의 멍청함으로 말아 먹은 경기가 대체 몇 경기란 말인가  수비 중심 멸치 기용, 컨디션 구위 상관없이 1이닝씩 끊어 던지며 연투 혹사로 구위 저하  그냥 무뇌충 감독은 빨리 집으로 가시길   
34	2020-08-26	2020-08-26	21:34:00	어제나 오늘이나 보면 모르겠나 	홈런 치니 분위기가 산다 야구의 꽃은 홈런이다삼성은 장타력 키우든지 트레이드 하든지노력이라도해라 노력해서 이정도면 코칭스텝 물갈이 해야 한다 노력도 없이 가만히 있는다고 장타력 성장되는게 아니다 
35	2020-08-26	2020-08-26	21:34:00	1회에 5점내고 타자들 다 퇴근했냐 ㅋㅋㅋ 	ㅋㅋㅋㅋㅋ 할만큼 했으니 투수들이 지켜라 이런마인드냐?? ㅋㅋ 진짜 보기 힘든 수준이네 ㅋㅋ 이성규 오늘도 3타수 무안타 ㅋㅋ 타율 0.196?? ㅋㅋ 그런데 1군 선발이라고?? ㅋㅋㅋㅋ 와 팀 수준 나온다 ㅋㅋ 그러니 딱 8위수준이지 ㅋㅋ 이런데도 내부육성해서 강해져야되고 fa필요 없다고?? ㅋㅋ 이성규 이성곤은 fa영입하고 보호명단으로 묶을 가치 조차 없는 놈들이야 ㅋㅋ 
36	2020-08-26	2020-08-26	21:33:00	1회 5득점 후 9회까지 무득점 	이거 1회 다득점 신기록 아닌가? 
37	2020-08-26	2020-08-26	21:33:00	종반에 약한 삼성 팔카가 못때리면 필패모드 	얼마나 삼성의 득점권 타력이 약한지 또 한번 입증된 경기 
38	2020-08-26	2020-08-26	21:29:00	김헌곤 번트 실패가 결정적 패인이다 	무사1.2루에서1루쪽으로 번트대는건 무슨 심보냐?일부러 말아먹으려는건가?머리가 나쁜건가 
39	2020-08-26	2020-08-26	21:29:00	홍준학 책임지고 물러나라 그래야 팀이 산다 	도저히 납득이 안되네. 감독으로서 보이는 능력이전혀 없어보이는데 하던일이나 하게 하지. 
40	2020-08-26	2020-08-26	21:28:00	비가 한 6회부터 엄청 오면 이길수도 있겠다 했는데 	하늘도 안도와 주는구나 다른지역은 비도 많이 오는데..하늘도 허30을 버리는구나.. 
41	2020-08-26	2020-08-26	21:27:00	이성규는 머 잘한게 있다고 계속 웃는거지???? 	이성규는 무슨 지금 퓨처스리그 출전해서 경기 나가는거 즐거워 하는애 같네? 오늘 삽질만 계속 해놓고 웃는거 보니 팀개판인게 보인다. 감독이 초보인데 팀 기강이 잡힐리 있나.. 
42	2020-08-26	2020-08-26	21:27:00	이성규는 그래도 즐거운갑다 	실실웃는다 ㅎㅎ진짜 뇌가없는건가?역전당한게 즐거운가?대책없는 놈이네 
43	2020-08-26	2020-08-26	21:26:00	찬스때 김지찬만도 못한 왕멸치 곳곳에 암버섯처럼 도사리고 있다 	팔카 뽀록 났네제일은 투수든 타자든 용병 복은 지지리도 없네투수 땅꼬마는 절대 성공 못한다180이하 땅꼬마 투수는 죄다 정리해라 
44	2020-08-26	2020-08-26	21:26:00	이게 ..삼성야구 아닙니꺼?..ㅋㅋㅋ 	올시즌..지겹도록 본 이런 야구.. 진정한 삼성야구..ㅋㅋㅋ코칭스텝이나..타자나..투수들이나...하나같이허술하고..멍청하고..근성없는 야구 
45	2020-08-26	2020-08-26	21:26:00	아.오. 개.씨.발.허.삼.영.생.각.좀.해.라 	눈이있고 뇌가있음 생각좀해라 
46	2020-08-26	2020-08-26	21:25:00	잘~한다 	개 쉬 이 발야구 존 나 게 잘하네 
47	2020-08-26	2020-08-26	21:24:00	노아웃에 주자 나간들 뭐하노? 	쯧쯧쯧 
48	2020-08-26	2020-08-26	21:23:00	감독코치.타자.투수 	모두가엘쥐에 실력으로안된다..각포지션 놓고 대조해봐도우위를점하고있는 포지션하나도없다..인정할건 해야됨.삼성선수들은 투타합처서1군선수는10명정도고나머진 올2ㅡ3군수준임인정해야함. 
49	2020-08-26	2020-08-26	21:21:00	8회 오승환 투입안한게 패착 	지금은 강수를 둬야할때 
50	2020-08-26	2020-08-26	21:21:00	그냥 웃음만 나오네요 	1회 로또 5점내고 4회부터 1점차 지킨다고 불펜 총동원하다 떡실신 ㅋㅋㅋ 무사 1.2루 병살후 삼진. 누가 좀 알려주세요 얘들 왤케 병~신 들인가요? ㅋㅋㅋ 그냥 웃음만 나옵니다. 
51	2020-08-26	2020-08-26	21:20:00	제일멸치스에게 노아웃1,2루는 찬스가 아니다 	무사 만루도 1득점할 확률 50%팔카도 멸치화 
52	2020-08-26	2020-08-26	21:20:00	냉무 	유중일 화이팅!!!!!!!!@@@ 
53	2020-08-26	2020-08-26	21:20:00	번트대도 실패 ,강공해도 실패,저런 선수들로 뭘 하겠냐 	허삼영 욕할거도 앖다 
54	2020-08-26	2020-08-26	21:20:00	허씨의 환상 	   허씨는 자기가 마치 MLB의 감독이나 된 것으로 착각을 한다.   구자욱이든, 이원석이든, 강민호이든 이기기 위해서는 번트도 대게 해야 하는데 그냥 밀어붙이니 이길 수 있는 경기도 그냥 허무하게 무너져버리고 만다. 허삼영의 머리에는 쇠붙이만 가득 들어있는 것 같다.  
55	2020-08-26	2020-08-26	21:20:00	강민호 	얘는 왜 걸어 다니죠달리기 못 하나요? 
56	2020-08-26	2020-08-26	21:19:00	맨날 이렇게 똑같은흐름으로 지기도힘들겠다 	대단하다 삼성 
57	2020-08-26	2020-08-26	21:17:00	삼성에게 역전승이란 없다. 	.. 
58	2020-08-26	2020-08-26	21:16:00	불펜 순서!! 	이승현-우규민-김윤수-최지광-오승환에서최지광은 8회가 아니라 6회에 내고 7회 우규민 8회 김윤수 이렇게 내면 8회 김윤수가 말아 먹으려나 심창민 8회 최지광 아웃 
59	2020-08-26	2020-08-26	21:15:00	결국 경기 끝나면 투수는 9명쯤 쓰고 지는 게임이 되겠네 	내일 비와서 게임 안한다고 확신하는 듯.허삼영 알파고, 데이터 야구? 더 중요한 것은 정신력과 각자의 실력뿐고졸 신인 2명이 1군 게임에 있을 정도로 형편없는 팀 
60	2020-08-26	2020-08-26	21:13:00	허삼영 	이친구는 맨날 똑 같은야구하노 구위와 컨디션 상관없이 무조건 한인닝 이게 데이터야구가? 근본 야구에 무뇌한이구만그놈의 이성규는 주구장창할말이없다이놈 야구단 해체할러고하는X맨 같네 ~???허파고?허파뒤집어지는야구다 
61	2020-08-26	2020-08-26	21:12:00	지광이 	지광이가 나올때질거같은예감이들었음.하여튼삼성에서는 필준 지광만 나오면 이기던경기도지게만드는 ㅅㅂㅅㄲ들감독 코치들너거들 또래이인거가누가컨디션이좋고나쁘고는딴사람들보다 너거둘이가젤먼저알고 경기에 내보내야되는거아니냐이래해서임기마치면다른팀에서도 안불러줄끼다감독오래하고싶으면 똑바로좀해라 
62	2020-08-26	2020-08-26	21:12:00	돌머리뿐인 투수. 타자. 감독. 코치 	삼성투수보면 상대 타자 분석은 전혀 안하고 나오는지. 머리가 나빠 분석해도 뮈가 뭔지를 모르는지.신기할 정도임.코치. 감독도 마찬가지 . 매번 후반에 역전당하니코치. 감독이 다 돌머리들뿐인지이해불가. 
63	2020-08-26	2020-08-26	21:12:00	허윤동이 늦게 내리고 두번째 투수 올릴때부터 우려한 상황 	이렇게 당하고도 생각이 없구나. 투수코치는 뭐하냐.불펜진 많으면 뭐하냐 쓸줄을 모르는데.또 맞고나서 뒤치닥거리한다. 정현욱이 아이고 
64	2020-08-26	2020-08-26	21:11:00	투수도 땅꼬마, 타자는 왕멸치 중1리가 즐거워 하겠네 	내가 삼성을 완전 쒸레기 만들고 나왔지속으로 쾌재를 외치겠네내일 케티, 주말 두산이 중1리 잡아다오 
65	2020-08-26	2020-08-26	21:11:00	저넘은 이형종에게 한가운데 던져 	동점 준 순간 이미 포기했다. 최지광은 공 던질때 완전히 고개 돌려 전혀 공을 안본다. 그러니 제구가 안될 수 밖에. 
66	2020-08-26	2020-08-26	21:10:00	김헌곤 번트 작전이 역전의 빌미 	다음타자 김지찬이고, 홈런 친 김헌곤에 보내기 번트?...작전 한심하다 
67	2020-08-26	2020-08-26	21:10:00	전형적인 아마추어 팀의 모습을 오늘도 보여주네요 	오늘도 1회 5점이나 선취점 뽑아놓고 그후 침묵하다가 역전. 이런게 도대체 몇번째냐. 아마추어 야구의 모습을 잘도 보여준다 
68	2020-08-26	2020-08-26	21:10:00	데이터야구하는데 방어율이고 whip다 김윤수가나은데 	왜 저 땅꼬마새가슴새.키는 8회에내냐일찍내보내지 
69	2020-08-26	2020-08-26	21:10:00	이젠 뭐 놀랍지도 않네..한두번도 아니고.. 	초반에 점수내고 타자들 빌빌대다..결국엔 역전패. 어찌 한치도 변함없는 경기 스타일인지..이젠 뭐 놀랍지도 않네.. 
70	2020-08-26	2020-08-26	21:10:00	허씨  이젠 욕만 나온다 	그만둬라자진해서 
71	2020-08-26	2020-08-26	21:09:00	한놈도 쓸대가 없네 	감독부터한놈도쓸놈이 없네 
72	2020-08-26	2020-08-26	21:09:00	전부터 말해왔자네 	최지광은 1인용 이라고 30이 대.갈빡 뜯어보고싶다 무사1.2루서 병헌곤한테 번트 작전부터 투수운용까지 대체 대갈에 뭐들었나 궁금타 
73	2020-08-26	2020-08-26	21:09:00	ㅎㅎ 	역시 실망시키지 않는다.허삼영이 조공할거라생각했다팀을 살리는 감독이 아니라팀을 끝없이 죠져놓는다 
